,resale_price,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city,model_year,model,car_age
3406,1200000.0,1353.0,Third Party insurance,Manual,33000.0,First Owner,Petrol,138.05,7.0,16.2,MUV,Kolkata,2022,Kia Carens,1.0
3407,450000.0,1493.0,Third Party insurance,Manual,48120.0,First Owner,Diesel,100.0,7.0,18.49,SUV,Kolkata,2016,Mahindra TUV,7.0
3409,130000.0,998.0,Third Party insurance,Manual,49194.0,First Owner,Petrol,66.1,5.0,19.0,Hatchback,Kolkata,2009,Maruti A-Star,14.0
3410,1245000.0,1498.0,Third Party,Automatic,20000.0,First Owner,Petrol,119.35,5.0,18.4,Sedan,Kolkata,2021,Honda City,2.0
3413,1325000.0,1497.0,Third Party,Automatic,26000.0,First Owner,Petrol,113.4,5.0,16.8,SUV,Kolkata,2020,Kia Seltos,3.0
3414,765000.0,1591.0,Third Party,Automatic,31000.0,Second Owner,Petrol,121.3,5.0,13.0,SUV,Kolkata,2016,Hyundai Creta,6.0
3415,524000.0,1197.0,Comprehensive,Manual,30000.0,First Owner,Petrol,81.8,5.0,22.0,Hatchback,Kolkata,2019,Maruti Swift,4.0
3416,574000.0,1197.0,Comprehensive,Manual,24000.0,First Owner,Petrol,81.8,5.0,20.4,Hatchback,Kolkata,2020,Maruti Swift,3.0
3417,164000.0,1196.0,Comprehensive,Manual,42000.0,First Owner,Petrol,70.02,5.0,15.6,Hatchback,Kolkata,2011,Ford Figo,12.0
3418,463999.99999999994,998.0,Comprehensive,Manual,32185.0,First Owner,Petrol,67.05,5.0,21.79,Hatchback,Kolkata,2020,Maruti Wagon,3.0
3421,725000.0,1497.0,Comprehensive,Automatic,58000.0,First Owner,Diesel,108.5,5.0,21.5,SUV,Kolkata,2019,Tata Nexon,4.0
3422,399000.0,1199.0,Comprehensive,Manual,55000.0,First Owner,Petrol,88.7,5.0,18.7,Hatchback,Kolkata,2016,Honda Jazz,6.0
